x, y, z, phi1, phi2
-0.0259375, -0.0359375, 1e-12, 4.33507209463952, -0.0273085643133133
-0.0253125, -0.0359375, 1e-12, 4.33931816394608, -0.0276942922471704
-0.0246875, -0.0359375, 1e-12, 4.34363025286278, -0.028071779264837
-0.0240625, -0.0359375, 1e-12, 4.34800717938973, -0.02843752727877
-0.0234375, -0.0359375, 1e-12, 4.35244719136339, -0.0287878709839444
-0.0228125, -0.0359375, 1e-12, 4.35694793582762, -0.0291189875037221
-0.0221875, -0.0359375, 1e-12, 4.36150642968287, -0.0294269088143337
-0.0215625, -0.0359375, 1e-12, 4.36611903211004, -0.0297075371494591
-0.0209375, -0.0359375, 1e-12, 4.37078141931054, -0.0299566635587451
-0.0203125, -0.0359375, 1e-12, 4.37548856214402, -0.0301699897588019
-0.0396875, -0.0353125, 1e-12, 4.25607455545636, -0.0248710370857065
-0.0390625, -0.0353125, 1e-12, 4.25877041921804, -0.0249028180421442
-0.0384375, -0.0353125, 1e-12, 4.26201756689977, -0.0249662619646258
-0.0378125, -0.0353125, 1e-12, 4.2652760250468, -0.0250611320282301
-0.0371875, -0.0353125, 1e-12, 4.26855026945985, -0.0251870708943841
-0.0365625, -0.0353125, 1e-12, 4.27184472698333, -0.0253435982152398
-0.0359375, -0.0353125, 1e-12, 4.27516376070638, -0.0255301073496434
-0.0353125, -0.0353125, 1e-12, 4.27851165456275, -0.0257458613289171
-0.0346875, -0.0353125, 1e-12, 4.28189259720431, -0.0259899881213756
-0.0340625, -0.0353125, 1e-12, 4.28531066502887, -0.0262614752559261
-0.0334375, -0.0353125, 1e-12, 4.28876980424953, -0.0265591638774047
-0.0328125, -0.0353125, 1e-12, 4.29227381190155, -0.0268817423194436
-0.0321875, -0.0353125, 1e-12, 4.29582631569317, -0.0272277392948479
-0.0315625, -0.0353125, 1e-12, 4.29943075261889, -0.0275955168185749
-0.0309375, -0.0353125, 1e-12, 4.30309034626859, -0.027983262994414
-0.0303125, -0.0353125, 1e-12, 4.30680808278309, -0.0283889848134035
-0.0296875, -0.0353125, 1e-12, 4.31058668542647, -0.0288105011296351
-0.0290625, -0.0353125, 1e-12, 4.31442858776893, -0.029245435997157
-0.0284375, -0.0353125, 1e-12, 4.31833590549972, -0.0296912125700127
-0.0278125, -0.0353125, 1e-12, 4.32231040691996, -0.0301450477855974
-0.0271875, -0.0353125, 1e-12, 4.32635348219811, -0.0306039480690858
-0.0265625, -0.0353125, 1e-12, 4.33046611150819, -0.03106470631301
-0.0259375, -0.0353125, 1e-12, 4.33464883221142, -0.0315239004007242
-0.0253125, -0.0353125, 1e-12, 4.33890170528645, -0.0319778935545961
-0.0246875, -0.0353125, 1e-12, 4.34322428126086, -0.0324228367984767
-0.0240625, -0.0353125, 1e-12, 4.34761556594748, -0.0328546738287085
-0.0234375, -0.0353125, 1e-12, 4.3520739863419, -0.033269148587277
